"","iteration_date","model_type","distibution","random_partition","nrow_train","nrow_test","nrounds","n_features","features","AIC","auc"
"97",2020-08-20 16:26:12,"glm","binomial",0.6,81,55,10,4,"X_flag,Y_flag,temp,hazard",96.1795980120155,0.660934648296708
"98",2020-08-20 16:26:12,"glm","binomial",0.7,95,41,10,4,"X_flag,Y_flag,temp,hazard",101.837511655057,0.639463391937525
"99",2020-08-20 16:26:12,"glm","binomial",0.8,108,28,10,4,"X_flag,Y_flag,temp,hazard",110.249389347556,0.664159791115253
"100",2020-08-20 16:26:12,"glm","binomial",0.9,122,14,10,4,"X_flag,Y_flag,temp,hazard",118.033550368218,0.672270727174824
"101",2020-08-20 16:26:12,"glm","binomial",0.6,81,55,10,4,"X_flag,Y_flag,fire_season,hazard",96.2293099686347,0.655723637309803
"102",2020-08-20 16:26:12,"glm","binomial",0.7,95,41,10,4,"X_flag,Y_flag,fire_season,hazard",103.765308000678,0.653159429329667
"103",2020-08-20 16:26:12,"glm","binomial",0.8,108,28,10,4,"X_flag,Y_flag,fire_season,hazard",111.476562939427,0.669735517606876
"104",2020-08-20 16:26:13,"glm","binomial",0.9,122,14,10,4,"X_flag,Y_flag,fire_season,hazard",118.924145862677,0.679918584750675
"105",2020-08-20 16:26:13,"glm","binomial",0.6,81,55,10,4,"X_flag,temp,fire_season,hazard",97.963710764533,0.599575308746578
"106",2020-08-20 16:26:13,"glm","binomial",0.7,95,41,10,4,"X_flag,temp,fire_season,hazard",106.84520432956,0.622122007432835
"107",2020-08-20 16:26:13,"glm","binomial",0.8,108,28,10,4,"X_flag,temp,fire_season,hazard",114.358676021713,0.620708841177006
"108",2020-08-20 16:26:13,"glm","binomial",0.9,122,14,10,4,"X_flag,temp,fire_season,hazard",122.203209916526,0.649100006951131
"109",2020-08-20 16:26:13,"glm","binomial",0.6,81,55,10,4,"Y_flag,temp,fire_season,hazard",101.223237460252,0.651391633306494
"110",2020-08-20 16:26:13,"glm","binomial",0.7,95,41,10,4,"Y_flag,temp,fire_season,hazard",106.944208055589,0.644837196216828
"111",2020-08-20 16:26:13,"glm","binomial",0.8,108,28,10,4,"Y_flag,temp,fire_season,hazard",114.141899617559,0.652161177793597
"112",2020-08-20 16:26:13,"glm","binomial",0.9,122,14,10,4,"Y_flag,temp,fire_season,hazard",121.575398383301,0.652410024759339
"113",2020-08-20 16:26:13,"glm","binomial",0.6,81,55,10,5,"X_flag,Y_flag,temp,fire_season,hazard",97.109892655247,0.660753645343755
"114",2020-08-20 16:26:13,"glm","binomial",0.7,95,41,10,5,"X_flag,Y_flag,temp,fire_season,hazard",105.000360738358,0.655642389505363
"115",2020-08-20 16:26:13,"glm","binomial",0.8,108,28,10,5,"X_flag,Y_flag,temp,fire_season,hazard",111.665686166594,0.631919006574246
"116",2020-08-20 16:26:13,"glm","binomial",0.9,122,14,10,5,"X_flag,Y_flag,temp,fire_season,hazard",119.50626840899,0.643408951900382
